date,Suspended Matter,Dissolved Organic Matter,Chlorophyl,Turbidity,Salinity,Dissolved Oxygen,pH,Temperature
09 February 2017,0.424626703,0.394617558,,,,,,
09 February 2017,0.436562759,0.491485691,,,,,,
09 February 2017,0.436562759,0.394617558,,,,,,
12 February 2017,0.437311799,0.350952451,,,,,,16.04042713
12 February 2017,0.475499374,0.350952451,,,,,,16.04042713
13 February 2017,0.475056253,0.407299438,,,,,,
13 February 2017,0.475056253,0.368427262,,,,,,
13 February 2017,0.463071589,0.407299438,,,,,,
13 February 2017,0.463071589,0.368427262,,,,,,
16 February 2017,0.464126274,0.370995681,,,,,,
16 February 2017,0.464126274,0.351005176,,,,,,
16 February 2017,0.398799227,0.370995681,,,,,,
16 February 2017,0.398799227,0.351005176,,,,,,
17 February 2017,0.395522159,0.351303395,,,,,,22.14833749
17 February 2017,0.395522159,0.321185511,,,,,,22.14833749
17 February 2017,0.398649078,0.351303395,,,,,,22.14833749
17 February 2017,0.398649078,0.321185511,,,,,,22.14833749
20 February 2017,0.396714788,0.323607652,,,,,,
20 February 2017,0.396714788,0.344029449,,,,,,
20 February 2017,0.396021201,0.323607652,,,,,,
20 February 2017,0.396021201,0.344029449,,,,,,
21 February 2017,0.397669074,0.346357903,,,,,,
21 February 2017,0.397669074,0.329163634,,,,,,
21 February 2017,0.415259521,0.346357903,,,,,,
21 February 2017,0.415259521,0.329163634,,,,,,
24 February 2017,0.414047698,0.329135426,,,,,,
24 February 2017,0.414047698,0.36736722,,,,,,
24 February 2017,0.428983153,0.329135426,,,,,,
24 February 2017,0.428983153,0.36736722,,,,,,
25 February 2017,0.429984987,0.369748515,,,,,,
25 February 2017,0.429984987,0.315809064,,,,,,
25 February 2017,0.406479198,0.369748515,,,,,,
25 February 2017,0.406479198,0.315809064,,,,,,
28 February 2017,0.406935978,0.317291879,,,,,,
28 February 2017,0.406935978,0.381696894,,,,,,
28 February 2017,0.437544782,0.317291879,,,,,,
28 February 2017,0.437544782,0.381696894,,,,,,
01 March 2017,0.448721016,,,,,,,
01 March 2017,0.439378711,,,,,,,
04 March 2017,0.448913229,0.520213625,,,,,,
04 March 2017,0.452952787,0.520213625,,,,,,
05 March 2017,0.453567952,,,,,,,
05 March 2017,0.462412205,,,,,,,
07 March 2017,0.462823742,,,,,,,
07 March 2017,0.523178284,,,,,,,
08 March 2017,0.522912691,,,,,,,
08 March 2017,0.450318263,,,,,,,
11 March 2017,0.450835336,0.398214708,,,,,,
11 March 2017,0.503833589,0.398214708,,,,,,
12 March 2017,0.441801093,0.43906635,,,,,,
12 March 2017,0.502976263,0.43906635,,,,,,
15 March 2017,0.442618458,0.364699655,,,,,,
15 March 2017,0.442618458,0.424670705,,,,,,
15 March 2017,0.470376205,0.364699655,,,,,,
15 March 2017,0.470376205,0.424670705,,,,,,
16 March 2017,0.469429123,0.424246692,,,,,,
16 March 2017,0.469429123,0.412564934,,,,,,
16 March 2017,0.4911942,0.424246692,,,,,,
16 March 2017,0.4911942,0.412564934,,,,,,
19 March 2017,0.491160837,0.413034536,,,,,,
19 March 2017,0.491160837,0.416418073,,,,,,
19 March 2017,0.464282942,0.413034536,,,,,,
19 March 2017,0.464282942,0.416418073,,,,,,
20 March 2017,0.464514349,0.416687615,,,,,,
20 March 2017,0.464514349,0.380259531,,,,,,
20 March 2017,0.457566562,0.416687615,,,,,,
20 March 2017,0.457566562,0.380259531,,,,,,
23 March 2017,0.457066883,0.380273397,,,,,,
24 March 2017,0.475987954,0.423033021,,,,,,
27 March 2017,0.48516796,0.401495911,,,,,,
28 March 2017,0.479178021,0.427435856,,,,,,
31 March 2017,0.461899486,0.377455553,,,,,,
03 April 2017,0.549007391,0.354464399,,,,,,
03 April 2017,0.549007391,0.380111101,,,,,,
04 April 2017,0.449388021,0.384227865,,,,,,
07 April 2017,0.532879368,,,,,,,
08 April 2017,0.521703775,,,,,,,
11 April 2017,0.529918798,,,,,,,
12 April 2017,0.492682818,,,,,,,
16 April 2017,0.510744633,0.433414152,,,,,,
19 April 2017,0.513685445,0.461864798,,,,,,
20 April 2017,0.502201226,0.421953414,,,,,,
23 April 2017,0.509076288,0.462164495,,,,,,
24 April 2017,0.489486636,0.399363042,,,,,,
27 April 2017,0.512620065,0.459977238,,,,,,
28 April 2017,0.50086939,0.407477947,,,,,,
30 April 2017,0.650124544,0.682461361,,,,,,
04 May 2017,0.617394428,,,,,,,
05 May 2017,0.51338248,0.46339165,,,,,,
08 May 2017,0.568648009,,,,,,,
09 May 2017,0.49690176,0.394767363,,,,,,
12 May 2017,0.539361939,,,,,,,
13 May 2017,0.516658075,0.444820977,,,,,,
17 May 2017,0.520363338,0.447482931,,,,,,33.2075644
20 May 2017,0.550630959,0.516088659,,,,,,
21 May 2017,0.521216438,0.445240396,,,,,,
24 May 2017,0.522666684,0.488323565,,,,,,35.3942957
25 May 2017,0.527224699,,,,,,,
27 May 2017,0.608580947,0.61245352,,,,,,
28 May 2017,0.520132505,0.480148494,,,,,,
31 May 2017,0.611440893,0.587346144,,,,,,
01 June 2017,0.514743759,0.353053141,,,,,,
01 June 2017,0.514743759,0.312320204,,,,,,
04 June 2017,0.577563928,,,,,,,28.05449943
05 June 2017,0.625233069,,,,,,,
08 June 2017,0.610245211,0.572746972,,,,,,
08 June 2017,0.610245211,0.580145429,,,,,,
09 June 2017,0.489376293,0.468783419,,,,,,20.72479899
12 June 2017,0.520019637,0.403233641,,,,,,
13 June 2017,0.514937681,0.451019462,,,,,,
16 June 2017,0.573630433,0.532279703,,,,,,
17 June 2017,0.497814661,0.423592356,,,,,,
20 June 2017,0.583742556,0.544290896,,,,,,
21 June 2017,0.644181618,0.607672516,,,,,,
23 June 2017,0.569886534,0.558804607,,,,,,
24 June 2017,0.605981046,,,,,,,
27 June 2017,0.626771916,0.587113159,,,,,,
28 June 2017,0.622557436,0.582446834,,,,,,
01 July 2017,0.607727501,,,,,,,
02 July 2017,0.62750895,,,,,,,
05 July 2017,0.541063179,,,,,,,
06 July 2017,0.610024059,,,,,,,
09 July 2017,0.621096578,,,,,,,
10 July 2017,0.622638115,0.391276516,,,,,,
13 July 2017,0.626562007,0.588564641,,,,,,
14 July 2017,0.632107214,0.582994041,,,,,,
16 July 2017,0.437692328,,,,,,,
17 July 2017,0.619777853,0.581914494,,,,,,
18 July 2017,0.627364182,0.575647854,,,,,,
20 July 2017,0.581031096,0.546017696,,,,,,
21 July 2017,0.625011105,0.592758401,,,,,,
24 July 2017,0.612566798,0.583078508,,,,,,
25 July 2017,0.615135315,0.575414463,,,,,,
28 July 2017,0.615504095,0.577975775,,,,,,
29 July 2017,0.604769104,0.554648986,,,,,,
01 August 2017,0.629419479,,,,,,,
02 August 2017,0.597157487,0.355885707,,,,,,
02 August 2017,0.597157487,0.366918024,,,,,,
06 August 2017,0.604418221,0.565687192,,,,,,
06 August 2017,0.627593145,0.565687192,,,,,,
10 August 2017,0.625395468,,,,,,,-91.62709526
12 August 2017,0.552315128,,,,,,,
14 August 2017,0.616952223,0.57968492,,,,,,
14 August 2017,0.616952223,0.527529825,,,,,,
14 August 2017,0.595821103,0.57968492,,,,,,
14 August 2017,0.595821103,0.527529825,,,,,,
16 August 2017,0.580059785,0.573614473,,,,,,
17 August 2017,0.636398167,0.609576911,,,,,,
20 August 2017,0.543564278,0.510050493,,,,,,
21 August 2017,0.610602944,0.584347918,,,,,,25.14686428
25 August 2017,0.627243587,0.587426936,,,,,,
28 August 2017,0.605716102,0.570496825,,,,,,
29 August 2017,0.541217622,0.489294825,,,,,,
01 September 2017,0.620628308,0.313272519,,,,,,22.3185055
01 September 2017,0.620628308,0.440415745,,,,,,22.3185055
02 September 2017,0.537083036,0.36756356,,,,,,
02 September 2017,0.537083036,0.350907786,,,,,,
02 September 2017,0.456636048,0.36756356,,,,,,
02 September 2017,0.456636048,0.350907786,,,,,,
05 September 2017,0.456914314,0.423524386,,,,,,
06 September 2017,0.51456959,0.418111072,,,,,,40.89845781
08 September 2017,0.492024233,,,,,,,
10 September 2017,0.436346103,0.351164707,,,,,,
12 September 2017,0.535224855,,,,,,,
13 September 2017,0.556267576,0.511806355,,,,,,
16 September 2017,0.496225016,0.439081462,,,,,,
17 September 2017,0.482367154,0.427084253,,,,,,
20 September 2017,0.475224438,0.39964013,,,,,,
21 September 2017,0.528136481,0.476830484,,,,,,
24 September 2017,0.627603952,0.586624349,,,,,,
25 September 2017,0.414155067,0.358875958,,,,,,
28 September 2017,0.432368473,0.358483094,,,,,,
29 September 2017,0.425753913,0.38037782,,,,,,10.90954393
03 October 2017,0.433422245,,,,,,,
06 October 2017,0.425438482,,,,,,,
07 October 2017,0.458654514,0.576797333,,,,,,
09 October 2017,0.453307552,0.3861466,,,,,,
10 October 2017,0.517002076,0.455872155,,,,,,
13 October 2017,0.627933177,0.594027033,,,,,,
14 October 2017,0.626159183,0.592881614,,,,,,
17 October 2017,0.628860863,0.59152392,,,,,,
18 October 2017,0.445122994,0.38737131,,,,,,
21 October 2017,0.44273072,0.355990732,,,,,,
22 October 2017,0.440337595,0.375739684,,,,,,
25 October 2017,0.481836647,0.391494434,,,,,,
26 October 2017,0.456236235,0.396729365,,,,,,
29 October 2017,0.451157107,0.361546769,,,,,,
30 October 2017,0.497690053,0.43266745,,,,,,
02 November 2017,0.460594006,,,,,,,
03 November 2017,0.471293807,0.373832225,,,,,,
03 November 2017,0.471293807,0.453559472,,,,,,
05 November 2017,0.475686129,,,,,,,
06 November 2017,0.461090039,,,,,,,
09 November 2017,0.429377129,,,,,,,
10 November 2017,0.492742428,,,,,,,
13 November 2017,0.467847932,0.38103474,,,,,,
14 November 2017,0.522893917,0.448406691,,,,,,
17 November 2017,0.497550525,0.405670244,,,,,,
18 November 2017,0.463752861,0.392857261,,,,,,
21 November 2017,0.463007737,0.364120295,,,,,,
22 November 2017,0.541083324,0.464850265,,,,,,
25 November 2017,0.64055341,0.601527524,,,,,,26.99605999
26 November 2017,0.480955031,0.411250696,,,,,,
29 November 2017,0.444392515,0.340672787,,,,,,
30 November 2017,0.472405664,0.395393691,,,,,,
02 December 2017,0.462035498,0.352861327,,,,,,
02 December 2017,0.462035498,0.407277351,,,,,,
03 December 2017,0.497812158,0.453748171,,,,,,
03 December 2017,0.497812158,0.362218677,,,,,,
06 December 2017,0.48604656,0.483541182,,,,,,
07 December 2017,0.599820524,,,,,,,
10 December 2017,0.589429819,,,,,,,
11 December 2017,0.455113709,,,,,,,
14 December 2017,0.455397699,0.362356384,,,,,,
15 December 2017,0.495463419,0.419483723,,,,,,
18 December 2017,0.480646599,0.378619608,,,,,,19.57346409
19 December 2017,0.502765845,0.448002397,,,,,,
22 December 2017,0.589737468,0.520824949,,,,,,
23 December 2017,0.507649173,0.427111398,,,,,,
26 December 2017,0.459318463,0.358888858,,,,,,
27 December 2017,0.467798553,0.399082357,,,,,,22.87642207
29 December 2017,0.452793593,0.345591465,,,,,,
30 December 2017,0.483330605,0.427808361,,,,,,
02 January 2018,0.464618798,,,,,,,
03 January 2018,0.50375963,0.418465148,,,,,,21.54017772
06 January 2018,0.510987757,,,,,,,
07 January 2018,0.491783019,,,,,,,
10 January 2018,0.470350298,,,,,,,
11 January 2018,0.477880447,,,,,,,
14 January 2018,0.459161963,0.364695016,,,,,,
15 January 2018,0.497940971,0.411357405,,,,,,
18 January 2018,0.463561941,0.361763112,,,,,,
19 January 2018,0.502817956,0.438007137,,,,,,19.89637203
22 January 2018,0.463621472,0.358722517,,,,,,
23 January 2018,0.496099101,0.417309034,,,,,,
25 January 2018,0.499506643,0.381798748,,,,,,
26 January 2018,0.505189385,0.439366154,,,,,,
29 January 2018,0.476608005,0.38935349,,,,,,
30 January 2018,0.50592217,0.438618656,,,,,,
02 February 2018,0.477893306,0.391247245,,,,,,
03 February 2018,0.504023824,0.462245671,,,,,,
06 February 2018,0.496940425,0.557875705,,,,,,
06 February 2018,0.496940425,0.594735637,,,,,,
07 February 2018,0.603887342,,,,,,,
10 February 2018,0.628819894,,,,,,,28.50039156
11 February 2018,0.516005366,0.386739976,,,,,,
14 February 2018,0.504494309,0.395666282,,,,,,
15 February 2018,0.506840948,0.431114039,,,,,,
18 February 2018,0.472203947,0.367405588,,,,,,
19 February 2018,0.519084641,0.450112049,,,,,,
21 February 2018,0.513606947,0.410468476,,,,,,
22 February 2018,0.512274987,0.469519933,,,,,,
25 February 2018,0.491568268,0.424415358,,,,,,
26 February 2018,0.536487124,0.472725357,,,,,,
01 March 2018,0.497318817,0.438619548,,,,,,14.99388357
02 March 2018,0.523424623,0.444176663,,,,,,
05 March 2018,0.519533291,0.526152843,,,,,,
06 March 2018,0.576273461,0.572459625,,,,,,
06 March 2018,0.576273461,0.613967538,,,,,,
09 March 2018,0.503498388,0.602488951,,,,,,
10 March 2018,0.527857135,0.356042737,,,,,,
10 March 2018,0.527857135,0.372119678,,,,,,
13 March 2018,0.52477696,0.426328656,,,,,,
14 March 2018,0.533617668,0.474281117,,,,,,
17 March 2018,0.532172788,0.430011304,,,,,,28.94133847
18 March 2018,0.539420945,0.481484902,,,,,,
